institution_id,institution_name,institution_created_date,researcher_id,researcher_name,researcher_comments,conference_id,conference_title,conference_date,conference_comments,registration_id,registration_fee,attendance_status
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,527,International Future of Tech Summit 27,2025-07-24,Venue: Tokyo,50020,414.49,Pending
35,IST Lisbon - Campus 35,1961-12-08,1041,Dr. P41 Smith,Specialization: Biology,517,International Global Health Summit 17,2025-02-23,Venue: Online,50021,282.69,Confirmed
30,Stanford - Campus 30,1856-01-28,1030,Dr. E30 Smith,Specialization: AI,538,International Future of Tech Summit 38,2026-01-20,Venue: Online,50022,71.56,Confirmed
8,CERN - Campus 8,1945-01-27,1049,Dr. X49 Smith,Specialization: Biology,538,International Future of Tech Summit 38,2026-01-20,Venue: Online,50023,151.99,Cancelled
30,Stanford - Campus 30,1856-01-28,1030,Dr. E30 Smith,Specialization: AI,539,International Future of Tech Summit 39,2026-05-20,Venue: Online,50024,79.52,Cancelled
18,IST Lisbon - Campus 18,1916-04-17,1026,Dr. A26 Smith,Specialization: Ethics,550,International Global Health Summit 50,2026-12-02,Venue: Tokyo,50025,266.46,Pending
35,IST Lisbon - Campus 35,1961-12-08,1041,Dr. P41 Smith,Specialization: Biology,525,International Quantum Computing Summit 25,2025-08-08,Venue: Lisbon,50026,444.14,Confirmed
48,IST Lisbon - Campus 48,1958-08-25,1028,Dr. C28 Smith,Specialization: Biology,517,International Global Health Summit 17,2025-02-23,Venue: Online,50027,497.03,Confirmed
46,Oxford - Campus 46,1853-06-30,1018,Dr. S18 Smith,Specialization: Physics,515,International Global Health Summit 15,2025-10-03,Venue: Lisbon,50028,489.27,Pending
13,CERN - Campus 13,1884-04-20,1015,Dr. P15 Smith,Specialization: Biology,515,International Global Health Summit 15,2025-10-03,Venue: Lisbon,50029,497.4,Pending
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,526,International Future of Tech Summit 26,2025-08-07,Venue: Berlin,50030,460.23,Confirmed
23,MIT - Campus 23,1910-07-13,1040,Dr. O40 Smith,Specialization: Physics,550,International Global Health Summit 50,2026-12-02,Venue: Tokyo,50031,457.33,Confirmed
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50032,499.36,Cancelled
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,542,International Future of Tech Summit 42,2025-08-14,Venue: Online,50033,123.71,Cancelled
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50034,289.13,Cancelled
8,CERN - Campus 8,1945-01-27,1042,Dr. Q42 Smith,Specialization: Biology,519,International Climate Change Summit 19,2026-06-07,Venue: Berlin,50035,374.72,Confirmed
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50036,260.35,Cancelled
14,CERN - Campus 14,1884-02-29,1036,Dr. K36 Smith,Specialization: AI,537,International Climate Change Summit 37,2026-12-22,Venue: Tokyo,50037,350.09,Pending
40,Max Planck - Campus 40,1937-11-18,1021,Dr. V21 Smith,Specialization: AI,525,International Quantum Computing Summit 25,2025-08-08,Venue: Lisbon,50038,60.77,Confirmed
48,IST Lisbon - Campus 48,1958-08-25,1028,Dr. C28 Smith,Specialization: Biology,502,International Quantum Computing Summit 2,2026-09-29,Venue: Berlin,50039,302.67,Pending
32,IST Lisbon - Campus 32,1926-05-13,1006,Dr. G6 Smith,Specialization: Ethics,525,International Quantum Computing Summit 25,2025-08-08,Venue: Lisbon,50040,310.37,Cancelled
1,CERN - Campus 1,1855-11-22,1039,Dr. N39 Smith,Specialization: Physics,504,International Future of Tech Summit 4,2025-12-06,Venue: Lisbon,50041,195.15,Pending
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,511,International Global Health Summit 11,2025-01-27,Venue: Berlin,50042,156.5,Confirmed
8,CERN - Campus 8,1945-01-27,1042,Dr. Q42 Smith,Specialization: Biology,514,International Future of Tech Summit 14,2025-02-25,Venue: Tokyo,50043,275.69,Confirmed
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,550,International Global Health Summit 50,2026-12-02,Venue: Tokyo,50044,223.6,Confirmed
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,549,International Climate Change Summit 49,2025-10-26,Venue: Tokyo,50045,451.37,Confirmed
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50046,125.32,Confirmed
9,Stanford - Campus 9,1934-04-30,1007,Dr. H7 Smith,Specialization: Biology,528,International Future of Tech Summit 28,2026-12-17,Venue: Online,50047,172.87,Cancelled
23,MIT - Campus 23,1910-07-13,1035,Dr. J35 Smith,Specialization: Biology,540,International Climate Change Summit 40,2025-11-20,Venue: Lisbon,50048,290.86,Confirmed
44,Oxford - Campus 44,1933-05-01,1008,Dr. I8 Smith,Specialization: AI,536,International Future of Tech Summit 36,2026-01-23,Venue: Tokyo,50049,121.58,Confirmed
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,522,International Global Health Summit 22,2026-09-09,Venue: Tokyo,50050,278.78,Cancelled
35,IST Lisbon - Campus 35,1961-12-08,1023,Dr. X23 Smith,Specialization: Biology,546,International Global Health Summit 46,2025-08-21,Venue: Tokyo,50051,192.18,Pending
22,IST Lisbon - Campus 22,1939-09-24,1005,Dr. F5 Smith,Specialization: Biology,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50052,467.01,Cancelled
25,Oxford - Campus 25,1941-02-04,1020,Dr. U20 Smith,Specialization: Biology,513,International Future of Tech Summit 13,2026-10-05,Venue: Online,50053,403.06,Confirmed
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,503,International Global Health Summit 3,2025-04-27,Venue: Berlin,50054,114.16,Pending
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,524,International Global Health Summit 24,2025-01-06,Venue: Lisbon,50055,178.68,Cancelled
47,CERN - Campus 47,1853-04-04,1044,Dr. S44 Smith,Specialization: Biology,524,International Global Health Summit 24,2025-01-06,Venue: Lisbon,50056,173.17,Confirmed
5,Oxford - Campus 5,1890-02-18,1017,Dr. R17 Smith,Specialization: Physics,535,International Future of Tech Summit 35,2026-06-18,Venue: Online,50057,382.54,Confirmed
18,IST Lisbon - Campus 18,1916-04-17,1026,Dr. A26 Smith,Specialization: Ethics,516,International Global Health Summit 16,2025-02-12,Venue: Online,50058,370.66,Pending
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,533,International Future of Tech Summit 33,2025-10-20,Venue: Tokyo,50059,122.46,Pending
18,IST Lisbon - Campus 18,1916-04-17,1026,Dr. A26 Smith,Specialization: Ethics,545,International Future of Tech Summit 45,2026-05-03,Venue: Online,50060,482.07,Cancelled
23,MIT - Campus 23,1910-07-13,1009,Dr. J9 Smith,Specialization: Biology,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50061,359.62,Confirmed
7,Max Planck - Campus 7,1917-04-20,1048,Dr. W48 Smith,Specialization: Ethics,548,International Future of Tech Summit 48,2026-07-18,Venue: Lisbon,50062,478.17,Confirmed
23,MIT - Campus 23,1910-07-13,1035,Dr. J35 Smith,Specialization: Biology,506,International Future of Tech Summit 6,2026-10-11,Venue: Berlin,50063,410.1,Pending
14,CERN - Campus 14,1884-02-29,1038,Dr. M38 Smith,Specialization: Physics,536,International Future of Tech Summit 36,2026-01-23,Venue: Tokyo,50064,305.54,Confirmed
23,MIT - Campus 23,1910-07-13,1009,Dr. J9 Smith,Specialization: Biology,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50065,67.21,Confirmed
36,Max Planck - Campus 36,1975-11-05,1019,Dr. T19 Smith,Specialization: Ethics,510,International Future of Tech Summit 10,2025-04-04,Venue: Tokyo,50066,451.68,Confirmed
7,Max Planck - Campus 7,1917-04-20,1048,Dr. W48 Smith,Specialization: Ethics,519,International Climate Change Summit 19,2026-06-07,Venue: Berlin,50067,187.89,Confirmed
35,IST Lisbon - Campus 35,1961-12-08,1022,Dr. W22 Smith,Specialization: Physics,527,International Future of Tech Summit 27,2025-07-24,Venue: Tokyo,50068,140.89,Confirmed
29,MIT - Campus 29,1850-03-24,1034,Dr. I34 Smith,Specialization: Physics,547,International Quantum Computing Summit 47,2025-02-05,Venue: Lisbon,50069,430.07,Confirmed
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50070,87.64,Cancelled
30,Stanford - Campus 30,1856-01-28,1030,Dr. E30 Smith,Specialization: AI,542,International Future of Tech Summit 42,2025-08-14,Venue: Online,50071,480.45,Confirmed
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,543,International Climate Change Summit 43,2025-02-14,Venue: Berlin,50072,124.04,Cancelled
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,525,International Quantum Computing Summit 25,2025-08-08,Venue: Lisbon,50073,255.21,Cancelled
27,Max Planck - Campus 27,1966-07-31,1014,Dr. O14 Smith,Specialization: Physics,512,International Climate Change Summit 12,2025-02-06,Venue: Berlin,50074,251.57,Cancelled
44,Oxford - Campus 44,1933-05-01,1037,Dr. L37 Smith,Specialization: Physics,517,International Global Health Summit 17,2025-02-23,Venue: Online,50075,405.13,Confirmed
36,Max Planck - Campus 36,1975-11-05,1019,Dr. T19 Smith,Specialization: Ethics,510,International Future of Tech Summit 10,2025-04-04,Venue: Tokyo,50076,229.93,Cancelled
19,Stanford - Campus 19,1863-02-04,1010,Dr. K10 Smith,Specialization: Biology,542,International Future of Tech Summit 42,2025-08-14,Venue: Online,50077,463.11,Pending
1,CERN - Campus 1,1855-11-22,1039,Dr. N39 Smith,Specialization: Physics,503,International Global Health Summit 3,2025-04-27,Venue: Berlin,50078,102.65,Pending
4,Max Planck - Campus 4,1909-08-21,1002,Dr. C2 Smith,Specialization: Ethics,520,International Global Health Summit 20,2026-09-20,Venue: Online,50079,223.11,Confirmed
29,MIT - Campus 29,1850-03-24,1034,Dr. I34 Smith,Specialization: Physics,525,International Quantum Computing Summit 25,2025-08-08,Venue: Lisbon,50080,112.66,Cancelled
8,CERN - Campus 8,1945-01-27,1042,Dr. Q42 Smith,Specialization: Biology,503,International Global Health Summit 3,2025-04-27,Venue: Berlin,50081,58.78,Cancelled
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,534,International Climate Change Summit 34,2026-04-08,Venue: Berlin,50082,87.93,Pending
23,MIT - Campus 23,1910-07-13,1009,Dr. J9 Smith,Specialization: Biology,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50083,460.65,Confirmed
25,Oxford - Campus 25,1941-02-04,1020,Dr. U20 Smith,Specialization: Biology,533,International Future of Tech Summit 33,2025-10-20,Venue: Tokyo,50084,122.41,Confirmed
50,CERN - Campus 50,1860-04-21,1025,Dr. Z25 Smith,Specialization: Physics,550,International Global Health Summit 50,2026-12-02,Venue: Tokyo,50085,402.95,Pending
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,523,International Quantum Computing Summit 23,2025-08-03,Venue: Tokyo,50086,396.44,Confirmed
32,IST Lisbon - Campus 32,1926-05-13,1011,Dr. L11 Smith,Specialization: Physics,548,International Future of Tech Summit 48,2026-07-18,Venue: Lisbon,50087,97.17,Cancelled
8,CERN - Campus 8,1945-01-27,1049,Dr. X49 Smith,Specialization: Biology,545,International Future of Tech Summit 45,2026-05-03,Venue: Online,50088,446.55,Cancelled
13,CERN - Campus 13,1884-04-20,1015,Dr. P15 Smith,Specialization: Biology,508,International Future of Tech Summit 8,2025-11-19,Venue: Tokyo,50089,429.11,Cancelled
5,Oxford - Campus 5,1890-02-18,1017,Dr. R17 Smith,Specialization: Physics,503,International Global Health Summit 3,2025-04-27,Venue: Berlin,50090,449.04,Confirmed
18,IST Lisbon - Campus 18,1916-04-17,1026,Dr. A26 Smith,Specialization: Ethics,536,International Future of Tech Summit 36,2026-01-23,Venue: Tokyo,50091,290.51,Pending
3,Stanford - Campus 3,1932-11-13,1027,Dr. B27 Smith,Specialization: Ethics,542,International Future of Tech Summit 42,2025-08-14,Venue: Online,50092,379.6,Confirmed
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,506,International Future of Tech Summit 6,2026-10-11,Venue: Berlin,50093,147.77,Pending
23,MIT - Campus 23,1910-07-13,1040,Dr. O40 Smith,Specialization: Physics,516,International Global Health Summit 16,2025-02-12,Venue: Online,50094,52.64,Confirmed
22,IST Lisbon - Campus 22,1939-09-24,1005,Dr. F5 Smith,Specialization: Biology,516,International Global Health Summit 16,2025-02-12,Venue: Online,50095,457.24,Cancelled
12,Max Planck - Campus 12,1955-09-25,1050,Dr. Y50 Smith,Specialization: Physics,539,International Future of Tech Summit 39,2026-05-20,Venue: Online,50096,201.73,Pending
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,512,International Climate Change Summit 12,2025-02-06,Venue: Berlin,50097,181.28,Pending
30,Stanford - Campus 30,1856-01-28,1030,Dr. E30 Smith,Specialization: AI,519,International Climate Change Summit 19,2026-06-07,Venue: Berlin,50098,498.14,Confirmed
7,Max Planck - Campus 7,1917-04-20,1048,Dr. W48 Smith,Specialization: Ethics,502,International Quantum Computing Summit 2,2026-09-29,Venue: Berlin,50099,319.34,Cancelled
48,IST Lisbon - Campus 48,1958-08-25,1028,Dr. C28 Smith,Specialization: Biology,510,International Future of Tech Summit 10,2025-04-04,Venue: Tokyo,50100,321.88,Pending
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,543,International Climate Change Summit 43,2025-02-14,Venue: Berlin,50101,91.43,Pending
40,Max Planck - Campus 40,1937-11-18,1021,Dr. V21 Smith,Specialization: AI,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50102,158.03,Confirmed
13,CERN - Campus 13,1884-04-20,1015,Dr. P15 Smith,Specialization: Biology,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50103,319.94,Confirmed
17,Oxford - Campus 17,1932-07-02,1046,Dr. U46 Smith,Specialization: Physics,513,International Future of Tech Summit 13,2026-10-05,Venue: Online,50104,444.61,Confirmed
1,CERN - Campus 1,1855-11-22,1039,Dr. N39 Smith,Specialization: Physics,544,International Quantum Computing Summit 44,2025-01-31,Venue: Online,50105,218.04,Confirmed
12,Max Planck - Campus 12,1955-09-25,1050,Dr. Y50 Smith,Specialization: Physics,526,International Future of Tech Summit 26,2025-08-07,Venue: Berlin,50106,431.24,Cancelled
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,544,International Quantum Computing Summit 44,2025-01-31,Venue: Online,50107,139.63,Pending
35,IST Lisbon - Campus 35,1961-12-08,1041,Dr. P41 Smith,Specialization: Biology,539,International Future of Tech Summit 39,2026-05-20,Venue: Online,50108,195.75,Cancelled
36,Max Planck - Campus 36,1975-11-05,1019,Dr. T19 Smith,Specialization: Ethics,503,International Global Health Summit 3,2025-04-27,Venue: Berlin,50109,205.04,Pending
13,CERN - Campus 13,1884-04-20,1015,Dr. P15 Smith,Specialization: Biology,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50110,59.35,Pending
40,Max Planck - Campus 40,1937-11-18,1021,Dr. V21 Smith,Specialization: AI,547,International Quantum Computing Summit 47,2025-02-05,Venue: Lisbon,50111,136.6,Cancelled
29,MIT - Campus 29,1850-03-24,1034,Dr. I34 Smith,Specialization: Physics,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50112,162.2,Cancelled
17,Oxford - Campus 17,1932-07-02,1046,Dr. U46 Smith,Specialization: Physics,502,International Quantum Computing Summit 2,2026-09-29,Venue: Berlin,50113,416.51,Confirmed
23,MIT - Campus 23,1910-07-13,1035,Dr. J35 Smith,Specialization: Biology,549,International Climate Change Summit 49,2025-10-26,Venue: Tokyo,50114,107.57,Pending
7,Max Planck - Campus 7,1917-04-20,1048,Dr. W48 Smith,Specialization: Ethics,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50115,181.54,Confirmed
14,CERN - Campus 14,1884-02-29,1036,Dr. K36 Smith,Specialization: AI,540,International Climate Change Summit 40,2025-11-20,Venue: Lisbon,50116,93.8,Cancelled
9,Stanford - Campus 9,1934-04-30,1007,Dr. H7 Smith,Specialization: Biology,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50117,309.19,Confirmed
4,Max Planck - Campus 4,1909-08-21,1002,Dr. C2 Smith,Specialization: Ethics,512,International Climate Change Summit 12,2025-02-06,Venue: Berlin,50118,357.01,Cancelled
29,MIT - Campus 29,1850-03-24,1029,Dr. D29 Smith,Specialization: AI,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50119,497.54,Cancelled
8,CERN - Campus 8,1945-01-27,1049,Dr. X49 Smith,Specialization: Biology,527,International Future of Tech Summit 27,2025-07-24,Venue: Tokyo,50120,63.5,Pending
9,Stanford - Campus 9,1934-04-30,1007,Dr. H7 Smith,Specialization: Biology,536,International Future of Tech Summit 36,2026-01-23,Venue: Tokyo,50121,415.22,Cancelled
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,537,International Climate Change Summit 37,2026-12-22,Venue: Tokyo,50122,317.54,Pending
23,MIT - Campus 23,1910-07-13,1013,Dr. N13 Smith,Specialization: Ethics,502,International Quantum Computing Summit 2,2026-09-29,Venue: Berlin,50123,243.89,Cancelled
50,CERN - Campus 50,1860-04-21,1001,Dr. B1 Smith,Specialization: Biology,528,International Future of Tech Summit 28,2026-12-17,Venue: Online,50124,433.87,Cancelled
17,Oxford - Campus 17,1932-07-02,1046,Dr. U46 Smith,Specialization: Physics,537,International Climate Change Summit 37,2026-12-22,Venue: Tokyo,50125,315.03,Cancelled
23,MIT - Campus 23,1910-07-13,1040,Dr. O40 Smith,Specialization: Physics,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50126,217.29,Confirmed
8,CERN - Campus 8,1945-01-27,1049,Dr. X49 Smith,Specialization: Biology,523,International Quantum Computing Summit 23,2025-08-03,Venue: Tokyo,50127,131.88,Pending
5,Oxford - Campus 5,1890-02-18,1017,Dr. R17 Smith,Specialization: Physics,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50128,479.49,Confirmed
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,528,International Future of Tech Summit 28,2026-12-17,Venue: Online,50129,309.77,Confirmed
17,Oxford - Campus 17,1932-07-02,1046,Dr. U46 Smith,Specialization: Physics,544,International Quantum Computing Summit 44,2025-01-31,Venue: Online,50130,426.45,Cancelled
27,Max Planck - Campus 27,1966-07-31,1014,Dr. O14 Smith,Specialization: Physics,545,International Future of Tech Summit 45,2026-05-03,Venue: Online,50131,67.69,Confirmed
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,540,International Climate Change Summit 40,2025-11-20,Venue: Lisbon,50132,199.69,Cancelled
27,Max Planck - Campus 27,1966-07-31,1012,Dr. M12 Smith,Specialization: AI,516,International Global Health Summit 16,2025-02-12,Venue: Online,50133,308.95,Confirmed
26,IST Lisbon - Campus 26,1951-03-13,1033,Dr. H33 Smith,Specialization: Ethics,537,International Climate Change Summit 37,2026-12-22,Venue: Tokyo,50134,494.89,Confirmed
50,CERN - Campus 50,1860-04-21,1025,Dr. Z25 Smith,Specialization: Physics,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50135,50.62,Confirmed
7,Max Planck - Campus 7,1917-04-20,1048,Dr. W48 Smith,Specialization: Ethics,535,International Future of Tech Summit 35,2026-06-18,Venue: Online,50136,372.38,Pending
5,Oxford - Campus 5,1890-02-18,1017,Dr. R17 Smith,Specialization: Physics,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50137,363.42,Pending
17,Oxford - Campus 17,1932-07-02,1046,Dr. U46 Smith,Specialization: Physics,546,International Global Health Summit 46,2025-08-21,Venue: Tokyo,50138,179.22,Confirmed
9,Stanford - Campus 9,1934-04-30,1007,Dr. H7 Smith,Specialization: Biology,504,International Future of Tech Summit 4,2025-12-06,Venue: Lisbon,50139,389.92,Confirmed
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50140,348.12,Cancelled
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,540,International Climate Change Summit 40,2025-11-20,Venue: Lisbon,50141,331.26,Cancelled
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,513,International Future of Tech Summit 13,2026-10-05,Venue: Online,50142,225.76,Confirmed
23,MIT - Campus 23,1910-07-13,1009,Dr. J9 Smith,Specialization: Biology,515,International Global Health Summit 15,2025-10-03,Venue: Lisbon,50143,155.92,Cancelled
35,IST Lisbon - Campus 35,1961-12-08,1023,Dr. X23 Smith,Specialization: Biology,526,International Future of Tech Summit 26,2025-08-07,Venue: Berlin,50144,176.65,Pending
14,CERN - Campus 14,1884-02-29,1036,Dr. K36 Smith,Specialization: AI,518,International Future of Tech Summit 18,2025-06-20,Venue: Tokyo,50145,171.32,Confirmed
23,MIT - Campus 23,1910-07-13,1009,Dr. J9 Smith,Specialization: Biology,542,International Future of Tech Summit 42,2025-08-14,Venue: Online,50146,80.16,Pending
22,IST Lisbon - Campus 22,1939-09-24,1005,Dr. F5 Smith,Specialization: Biology,546,International Global Health Summit 46,2025-08-21,Venue: Tokyo,50147,205.78,Confirmed
12,Max Planck - Campus 12,1955-09-25,1050,Dr. Y50 Smith,Specialization: Physics,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50148,63.21,Cancelled
12,Max Planck - Campus 12,1955-09-25,1050,Dr. Y50 Smith,Specialization: Physics,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50149,493.22,Pending
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,530,International Future of Tech Summit 30,2025-05-10,Venue: Online,50150,317.03,Pending
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,518,International Future of Tech Summit 18,2025-06-20,Venue: Tokyo,50151,246.51,Pending
8,CERN - Campus 8,1945-01-27,1042,Dr. Q42 Smith,Specialization: Biology,545,International Future of Tech Summit 45,2026-05-03,Venue: Online,50152,454.16,Pending
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,547,International Quantum Computing Summit 47,2025-02-05,Venue: Lisbon,50153,245.47,Pending
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,541,International Future of Tech Summit 41,2025-02-28,Venue: Berlin,50154,215.99,Cancelled
26,IST Lisbon - Campus 26,1951-03-13,1033,Dr. H33 Smith,Specialization: Ethics,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50155,422.78,Cancelled
19,Stanford - Campus 19,1863-02-04,1010,Dr. K10 Smith,Specialization: Biology,547,International Quantum Computing Summit 47,2025-02-05,Venue: Lisbon,50156,164.09,Pending
26,IST Lisbon - Campus 26,1951-03-13,1033,Dr. H33 Smith,Specialization: Ethics,509,International Future of Tech Summit 9,2026-03-07,Venue: Online,50157,243.14,Pending
12,Max Planck - Campus 12,1955-09-25,1050,Dr. Y50 Smith,Specialization: Physics,544,International Quantum Computing Summit 44,2025-01-31,Venue: Online,50158,433.42,Cancelled
32,IST Lisbon - Campus 32,1926-05-13,1006,Dr. G6 Smith,Specialization: Ethics,501,International Quantum Computing Summit 1,2025-08-23,Venue: Berlin,50159,162.2,Pending
